SUPPLIER,TOTAL RETAIL SALES,TOTAL RETAIL TRANSFERS,TOTAL WAREHOUSE SALES,SUM
Sanglier Selections Llc,2.26,3.17,0.0,5.43
Scheid Vineyards California Inc,0.0,1.0,4.0,5.0
The Triton Collection,0.0,5.0,0.0,5.0
Premium Distributors Of Maryland,0.0,0.0,5.0,5.0
Chef Sous Llc,3.8600000000000003,1.0,0.0,4.86
Merryvale Vineyards,2.4699999999999998,2.0,0.0,4.47
Classic Wine Imports Inc,4.41,0.0,0.0,4.41
Banville & Jones Wine Merchants,3.9099999999999997,0.0,0.0,3.9099999999999997
Chateau Diana Llc,0.64,0.0,3.0,3.64
Heimbuch Estate Vineyards And Winery Llc,2.1799999999999997,0.83,0.0,3.01
Winebow Inc,1.2400000000000002,1.58,0.0,2.8200000000000003
American Vintage Beverage Inc,2.38,0.0,0.0,2.38
Basignani Winery,2.37,0.0,0.0,2.37
Flavor Seekers Llc,2.3399999999999994,0.0,0.0,2.3399999999999994
Spada Enterprises Inc,1.95,0.0,0.0,1.95
A&W Borders Llc,0.8,1.0,0.0,1.8
Sugarloaf Mountain Vineyard Llc,1.21,0.0,0.0,1.21
D'Aquino Italian Importing Co Inc,0.16,0.0,1.0,1.16
Dcd Enterprises Llc,0.16,1.0,0.0,1.16
Black Ankle Vineyards Llc,0.08,1.0,0.0,1.08
Calvert Brewing Company,0.0,0.0,1.0,1.0
Nice Legs Llc,0.97,0.0,0.0,0.97
Organic Vintners Inc,0.9000000000000001,0.0,0.0,0.9000000000000001
Chaddsford Winery Ltd,0.9,0.0,0.0,0.9
Meiomi,0.75,0.0,0.0,0.75
Maison Jomere Ltd,0.72,0.0,0.0,0.72
Vintage Virginia Apples,0.16,0.5,0.0,0.66
Usa Wine Imports,0.65,0.0,0.0,0.65
Sable Ridge Vineyard Llc,0.64,0.0,0.0,0.64
Wein-Bauer Inc,0.5700000000000001,0.0,0.0,0.5700000000000001
Dreyfus Ashby Inc,0.57,0.0,0.0,0.57
