ITEM TYPE,TOTAL RETAIL SALES,TOTAL RETAIL TRANSFERS,TOTAL WAREHOUSE SALES,SUM
BEER,209763.76999999981,234932.83999999997,2437810.559999994,2882507.169999994
DUNNAGE,0.0,0.0,45275.0,45275.0
KEGS,0.0,0.0,43674.0,43674.0
LIQUOR,309870.669999999,334496.7099999998,33222.15999999996,677589.5399999986
NON-ALCOHOL,8109.969999999999,9064.789999999999,8656.720000000001,25831.48
REF,281.3400000000001,172.07999999999998,0.0,453.4200000000001
STR_SUPPLIES,995.98,3594.7,0.0,4590.68
WINE,313436.0599999925,341165.9100000008,433420.9499999998,1088022.919999993
